open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2023-03-08 11:00:00,22111.25000000,22134.85000000,22055.25000000,22072.45000000,9485.70357000,2023-03-08 11:59:59.999,209515777.73848310,260509,4810.58871000,106258012.15642980,0
2023-03-08 12:00:00,22071.98000000,22107.82000000,21993.61000000,22014.17000000,10928.25251000,2023-03-08 12:59:59.999,240945599.26171530,311558,5463.26040000,120461433.26053360,0
2023-03-08 13:00:00,22014.17000000,22062.00000000,21940.00000000,21989.16000000,16367.90865000,2023-03-08 13:59:59.999,360213626.35344690,409808,8071.05322000,177624648.94902630,0
2023-03-08 14:00:00,21989.16000000,22030.52000000,21922.22000000,21974.73000000,19735.20056000,2023-03-08 14:59:59.999,433865820.72194250,477524,9924.02519000,218185255.64599680,0
2023-03-08 15:00:00,21974.73000000,22229.04000000,21876.66000000,22140.80000000,34124.55170000,2023-03-08 15:59:59.999,753829101.58092510,739747,17080.40940000,377334214.59146970,0
2023-03-08 16:00:00,22139.97000000,22218.30000000,22058.30000000,22140.61000000,15478.76546000,2023-03-08 16:59:59.999,342579270.38469040,395460,7679.47270000,169966294.82541940,0
2023-03-08 17:00:00,22140.61000000,22150.00000000,22022.52000000,22034.48000000,10620.41683000,2023-03-08 17:59:59.999,234593008.89887600,291715,5139.54462000,113529563.40036350,0
2023-03-08 18:00:00,22034.48000000,22063.03000000,21944.25000000,22022.75000000,12174.26210000,2023-03-08 18:59:59.999,267878662.91702220,354394,6115.72913000,134576604.75355770,0
2023-03-08 19:00:00,22021.97000000,22061.60000000,21987.26000000,21997.25000000,9051.11834000,2023-03-08 19:59:59.999,199310785.53408200,262767,4584.31645000,100953486.81382630,0
2023-03-08 20:00:00,21997.25000000,22133.75000000,21969.56000000,22101.26000000,11899.29454000,2023-03-08 20:59:59.999,262404122.10627500,318490,6134.40731000,135282668.00323990,0
2023-03-08 21:00:00,22099.95000000,22113.57000000,21907.09000000,22009.75000000,10598.73461000,2023-03-08 21:59:59.999,233420816.41879290,296172,5168.55461000,113832821.69340180,0
2023-03-08 22:00:00,22010.37000000,22016.16000000,21660.00000000,21802.16000000,11805.35357000,2023-03-08 22:59:59.999,258636534.46638270,342587,5402.23211000,118380776.93705750,0
2023-03-08 23:00:00,21800.47000000,21838.12000000,21580.00000000,21705.44000000,20396.41321000,2023-03-08 23:59:59.999,442963291.22588350,488223,10209.06781000,221725281.61525820,0
2023-03-09 00:00:00,21704.37000000,21765.15000000,21675.40000000,21719.42000000,10551.56996000,2023-03-09 00:59:59.999,229180454.80706220,309957,5314.11381000,115423910.94440130,0
2023-03-09 01:00:00,21720.15000000,21762.38000000,21629.43000000,21702.94000000,10219.11258000,2023-03-09 01:59:59.999,221890633.47730940,292187,5197.93963000,112868092.57769770,0
2023-03-09 02:00:00,21703.55000000,21793.65000000,21700.44000000,21769.65000000,7921.66747000,2023-03-09 02:59:59.999,172329011.60207520,245249,4160.16837000,90498199.03515470,0
2023-03-09 03:00:00,21769.14000000,21806.68000000,21744.46000000,21769.66000000,6739.30785000,2023-03-09 03:59:59.999,146717793.07744300,220772,3375.62577000,73489886.02177690,0
2023-03-09 04:00:00,21770.37000000,21774.69000000,21720.11000000,21740.43000000,5953.71527000,2023-03-09 04:59:59.999,129459483.09288630,189976,2880.99270000,62645353.41002010,0
2023-03-09 05:00:00,21740.39000000,21761.33000000,21728.00000000,21738.93000000,5857.40431000,2023-03-09 05:59:59.999,127348247.29571270,189690,2940.49963000,63931636.76912220,0
2023-03-09 06:00:00,21738.93000000,21746.04000000,21683.49000000,21741.80000000,7890.85590000,2023-03-09 06:59:59.999,171418519.91040860,223497,3828.99162000,83181381.30653130,0
2023-03-09 07:00:00,21741.25000000,21742.39000000,21665.67000000,21688.54000000,8160.18877000,2023-03-09 07:59:59.999,177118164.22818350,236115,3890.27189000,84438330.92745540,0
2023-03-09 08:00:00,21688.54000000,21698.38000000,21602.00000000,21681.52000000,15335.28307000,2023-03-09 08:59:59.999,332146470.11973530,370386,7556.74181000,163675739.80585010,0
2023-03-09 09:00:00,21682.31000000,21700.00000000,21585.00000000,21641.58000000,12338.10576000,2023-03-09 09:59:59.999,267136305.68418760,305112,6016.85416000,130277064.05343760,0
2023-03-09 10:00:00,21641.07000000,21683.68000000,21527.00000000,21648.43000000,14926.28036000,2023-03-09 10:59:59.999,322850186.64652470,329623,7456.60487000,161292655.28638420,0
2023-03-09 11:00:00,21646.98000000,21674.11000000,21620.00000000,21669.38000000,9697.99101000,2023-03-09 11:59:59.999,209937721.93879750,255985,4833.78765000,104641876.30542580,0
2023-03-09 12:00:00,21669.38000000,21674.98000000,21600.96000000,21611.34000000,9381.03199000,2023-03-09 12:59:59.999,202927726.72416620,279134,4606.56068000,99649474.76602730,0
2023-03-09 13:00:00,21611.89000000,21730.77000000,21552.84000000,21703.76000000,21493.94100000,2023-03-09 13:59:59.999,465205572.89720980,502630,11100.52664000,240270544.55018210,0
2023-03-09 14:00:00,21703.76000000,21834.99000000,21686.72000000,21722.89000000,23399.51181000,2023-03-09 14:59:59.999,508963423.88111710,548851,11801.96877000,256711216.50354210,0
2023-03-09 15:00:00,21722.10000000,21807.66000000,21633.95000000,21648.57000000,17586.60391000,2023-03-09 15:59:59.999,381934328.68333100,439891,8799.13447000,191105178.76637400,0
2023-03-09 16:00:00,21647.42000000,21675.22000000,21416.79000000,21478.85000000,28547.08915000,2023-03-09 16:59:59.999,615576656.78125810,601308,13529.44694000,291787174.06560030,0
2023-03-09 17:00:00,21479.31000000,21524.96000000,21400.00000000,21469.46000000,20661.68843000,2023-03-09 17:59:59.999,443605516.48454370,473932,10416.56786000,223657235.24612850,0
2023-03-09 18:00:00,21470.47000000,21491.86000000,20967.00000000,21012.89000000,40265.11837000,2023-03-09 18:59:59.999,853295059.07632920,781072,19122.44124000,405266027.72103520,0
2023-03-09 19:00:00,21013.32000000,21020.64000000,20766.20000000,20854.93000000,37836.59279000,2023-03-09 19:59:59.999,790664131.15262610,723098,18704.42968000,390883841.20483320,0
2023-03-09 20:00:00,20856.30000000,20867.30000000,20042.72000000,20116.66000000,64418.09962000,2023-03-09 20:59:59.999,1323797342.90606840,1095193,30169.00055000,620160064.55778310,0
2023-03-09 21:00:00,20119.83000000,20416.04000000,20112.18000000,20213.61000000,36841.57762000,2023-03-09 21:59:59.999,747366857.26654570,738279,18549.05273000,376302573.61021860,0
2023-03-09 22:00:00,20213.61000000,20494.96000000,20213.01000000,20343.58000000,14779.28498000,2023-03-09 22:59:59.999,300702926.94243270,394252,7443.90513000,151451810.36675270,0
2023-03-09 23:00:00,20343.58000000,20379.58000000,20274.62000000,20362.22000000,12856.26386000,2023-03-09 23:59:59.999,261456230.03181980,330513,6204.96961000,126194254.24150280,0
2023-03-10 00:00:00,20362.21000000,20367.78000000,20022.00000000,20120.27000000,31664.01722000,2023-03-10 00:59:59.999,638160773.47703490,628731,15336.68414000,309076032.15212480,0
2023-03-10 01:00:00,20121.38000000,20159.50000000,19776.22000000,20111.01000000,51259.99284000,2023-03-10 01:59:59.999,1025094511.12100410,839940,25644.45973000,512914486.79270790,0
2023-03-10 02:00:00,20111.87000000,20141.72000000,20024.95000000,20040.44000000,15373.36430000,2023-03-10 02:59:59.999,308717341.43930820,355847,7830.31774000,157247376.66890140,0
2023-03-10 03:00:00,20040.44000000,20134.50000000,19977.48000000,20052.07000000,12847.04823000,2023-03-10 03:59:59.999,257823636.76393420,301993,6449.36266000,129439196.65532150,0
2023-03-10 04:00:00,20052.07000000,20065.00000000,19833.01000000,19876.69000000,21600.53689000,2023-03-10 04:59:59.999,430836290.75894750,435304,10635.90911000,212128069.37412240,0
2023-03-10 05:00:00,19876.15000000,20046.00000000,19854.09000000,19990.10000000,16038.64182000,2023-03-10 05:59:59.999,320236297.10926700,356217,8042.51213000,160577273.07215640,0
2023-03-10 06:00:00,19990.10000000,20024.76000000,19839.62000000,19873.46000000,17818.24696000,2023-03-10 06:59:59.999,355217167.25919810,380025,8734.74270000,174142606.09104700,0
2023-03-10 07:00:00,19873.46000000,20039.19000000,19776.55000000,19953.58000000,28538.44321000,2023-03-10 07:59:59.999,568376586.91072250,537120,14419.58395000,287215662.15602040,0
2023-03-10 08:00:00,19953.58000000,19977.00000000,19875.83000000,19959.12000000,15178.47787000,2023-03-10 08:59:59.999,302413466.28781840,370288,7555.68163000,150541361.12217050,0
2023-03-10 09:00:00,19958.54000000,19969.14000000,19831.40000000,19853.12000000,17552.14244000,2023-03-10 09:59:59.999,349216285.51668880,412874,8470.16008000,168523920.11702200,0
2023-03-10 10:00:00,19853.12000000,19924.04000000,19549.09000000,19621.66000000,38988.67853000,2023-03-10 10:59:59.999,770475159.98837290,666487,18788.13077000,371323467.56297020,0
2023-03-10 11:00:00,19622.77000000,19802.24000000,19569.47000000,19760.78000000,25258.98821000,2023-03-10 11:59:59.999,496984359.44621880,465215,12830.88610000,252475252.16693600,0
2023-03-10 12:00:00,19761.12000000,19998.99000000,19730.16000000,19934.75000000,24926.96144000,2023-03-10 12:59:59.999,494839083.84769140,457677,12656.00131000,251256168.40496610,0
2023-03-10 13:00:00,19933.31000000,20321.19000000,19884.75000000,20184.92000000,43471.46204000,2023-03-10 13:59:59.999,873135776.80365310,717109,21872.86800000,439321021.10026280,0
